"title","company_profile","description","requirements","benefits","fraudulent"
"Online Data Entry Work From Home","EarnEasy Solutions provides simple online tasks for everyone.","URGENT HIRING! Limited seats only — ACT NOW! Earn Rs 5000 per day doing simple copy paste and form filling work from home. No experience needed. Anyone can apply. Pay Rs 1500 registration fee to activate your work kit. Send your Aadhar card and bank account details on WhatsApp. Guaranteed income every week. Don't miss this last chance!","No experience needed. Anyone can apply. Minimum age 18.","Earn from home. Unlimited income potential.","1"
"Ad Posting Job — Earn Rs 800 per Ad","HomeBiz Network is a leading home based earning company.","Work from home and earn Rs 800 per ad posting. Simple easy online work. Just copy paste ads on social media. Pay a refundable joining fee of Rs 2000 to start. No experience required. Join today and start earning from day one. Limited time offer. Apply before it expires!","No qualifications needed. Anyone from any background can apply.","Daily payment, work from home, be your own boss.","1"
"Reseller / Dropshipping Executive","QuickRich Enterprise helps people earn from home easily.","Become a reseller and earn passive income without investment — just pay a small security deposit of Rs 999 to get your starter kit. Earn unlimited by reselling products. Grow your team and earn more. Refer friends and earn referral bonus. Multi level earning opportunity. Immediate joining available.","Basic smartphone and internet connection required.","Unlimited earning potential. Refer and earn bonus.","1"
"Survey Filling Specialist — Work From Home","SurveyPay India connects survey takers with companies.","Earn Rs 2000 to Rs 5000 per day by filling online surveys from home. No experience needed. Just fill forms and get paid daily. Pay an upfront fee of Rs 1200 to access premium surveys. Send Aadhar number and PAN card copy to register. Hurry — limited slots available!","Any graduate or 12th pass. Must have smartphone.","Daily payout, work anytime, anywhere.","1"
"MLM Team Leader — Network Marketing","NextGen Profits is India's fastest growing network marketing company.","Join our growing team and earn unlimited income by recruiting friends and family. Build your downline and earn commission on their earnings too. Multi level marketing opportunity with guaranteed income of Rs 30000 per month. Buy our starter kit for Rs 3500 and begin today. First come first serve basis.","Anyone willing to work hard and grow their team.","Unlimited income, incentives, travel rewards.","1"
"Online Typing Work — Part Time Home Based","TypeEarn Solutions offers simple typing jobs for students.","Simple online typing work from home. Earn Rs 15000 to Rs 25000 per month by typing from home. No experience required. Pay Rs 500 joining fee and receive work immediately on WhatsApp. Data entry and copy paste jobs available. Easy online work. Act now — closing soon!","Typing speed minimum 20 wpm. Anyone can apply.","Weekly payment. Flexible hours.","1"
"Field Sales Executive — MLM Based","PowerSell Network operates in direct selling and referrals.","Join our field sales team and earn by selling products and recruiting new members. Earn commission for every new member you bring. Grow your downline and earn passive income monthly. Recruit 10 members to qualify for star performer bonus. Buy product kit for Rs 4000 to start.","Fresher or experienced. Own vehicle preferred.","Commission based income. No fixed salary.","1"
"Data Entry Operator — Genuine Work","FastEarn Technologies provides data entry solutions.","We offer genuine data entry work from home. Earn Rs 300 to Rs 500 per hour doing simple form filling and copy paste work. Pay a one time registration fee of Rs 1800 to receive work. Send resume on WhatsApp only. Urgent hiring — immediate joining available. Limited seats only.","12th pass or above. Must have laptop and internet.","Payment every week, work from home.","1"
"Customer Support Executive — WFH","HomeSupport India provides customer support services.","Work from home as a customer support executive. Earn Rs 25000 per month. No experience required. Pay a security deposit of Rs 2500 which is fully refundable after 3 months. Apply only via WhatsApp. Send photo and address proof to apply. Don't share this offer — confidential.","Any graduate. Basic English communication skills.","Fixed monthly salary. Work from home.","1"
"Earn From Home — Part Time Online Jobs","OnlineIncome Hub connects job seekers with home based opportunities.","Make money online from home working just 2 hours per day. Earn Rs 50000 per month guaranteed. No investment needed except a small processing fee of Rs 1500. Get rich working from home. Passive income opportunity. Simple tasks like clicking ads and sharing posts. Act now before seats close!","No qualifications needed. Anyone can apply.","Guaranteed income. Daily payment.","1"
"Simple Online Work — Form Filling","EasyJobIndia provides easy home based income opportunities.","Earn Rs 800 to Rs 1500 per day by filling simple online forms from home. No experience required. Pay Rs 600 registration fee to start receiving work. Work just 1-2 hours per day and earn guaranteed income. Apply on WhatsApp now. Limited seats available. Don't miss this opportunity!","Anyone above 18 years. Basic smartphone.","Daily guaranteed payment.","1"
"Earn Rs 50000 Monthly — Work From Home","WorkAtHome Solutions connects people with home based earning.","Make money from home without any skills or education. Earn Rs 50000 per month guaranteed by doing simple tasks like watching videos and sharing links. Just pay Rs 1000 processing fee to activate your account. Get rich from home easily. Act now before offer expires!","No qualifications needed, anyone can join.","Guaranteed Rs 50000 monthly income.","1"
"Network Marketing Associate","BrightFuture MLM has helped thousands earn passive income through our network.","Join our network and earn by growing your team. Recruit 5 friends and start earning commission. Build your downline for unlimited passive income. Buy our product kit for Rs 5000 to join. Multi level income structure. Refer and earn bonus for every member you bring onboard.","Anyone willing to invest time and recruit members.","Commission and referral bonus for every recruit.","1"
"Home Based Data Typing Jobs","QuickType Solutions offers data typing work for home based workers.","Earn Rs 10000 to Rs 20000 per month by typing data at home. Simple copy paste and data entry work. No experience needed. Pay a refundable security deposit of Rs 1500 to receive your first project. Apply via WhatsApp only. Send your Aadhar card number to register. Urgent openings!","Basic typing skills. Anyone can apply.","Weekly payout. Work from home.","1"
"WhatsApp Marketing Executive","ViralBoost Marketing gives you the chance to earn from social media.","Promote products on WhatsApp and earn commission. Buy our marketing kit for Rs 2000 and start earning immediately. Recruit friends to the team and earn referral bonus. No experience required. Guaranteed earning of Rs 1000 to Rs 3000 per day. Apply immediately — closing in 24 hours!","Anyone with a smartphone and WhatsApp account.","Earn from home. Daily payment.","1"
"Online Survey Jobs — No Experience","SurveyEarn India pays you for completing surveys online.","Complete surveys from home and earn Rs 500 per survey. No skills or experience required. Pay Rs 800 registration fee to access paid surveys. Guaranteed Rs 2000 minimum daily earning. Work just 1 hour per day. Send bank details and Aadhar copy to start. Last few seats available!","Anyone above 18. Basic internet access.","Rs 500 per survey. Daily payment.","1"
"Part Time Job — Students Welcome","StudentEarn provides flexible part time work for students.","Students and housewives can earn Rs 15000-30000 per month from home doing easy work. Just pay Rs 700 joining fee and start earning the same day. Simple tasks like ad posting, form filling, and copy paste. Work anytime — no fixed hours. Apply before offer expires tonight!","Students and housewives only. No experience needed.","Flexible hours. Work from home.","1"
"Genuine Work From Home","TrueEarn Pvt Ltd offers legitimate home based work.","Work from home and earn extra income. Simple tasks available: data entry, copy paste, form filling. Pay Rs 999 security deposit refundable after 30 days. Apply on WhatsApp with your photo. Limited slots. Urgent hiring. Income guaranteed. Don't share this offer.","No experience needed. Basic literacy.","Guaranteed income. Weekly payment.","1"
"Field Executive — Direct Selling","DirectPay Network is India's top direct selling opportunity.","Earn commission by selling products and recruiting new members into our team. Buy starter kit for Rs 3000. Grow your downline and earn passive monthly income. Recruit 5 members to earn a special bonus. Multi level income. Unlimited earning potential. Join today!","Anyone willing to sell and recruit friends.","Unlimited commission and referral bonus.","1"
"Work From Home — Ad Posting Jobs","AdPost India pays you to post ads on websites and social media.","Post ads online and earn Rs 500 per ad. Work from home doing simple ad posting tasks. Pay Rs 1000 joining fee to access the ad posting platform. No experience needed. Earn unlimited by posting more ads. Immediate payout. Apply on WhatsApp only. Hurry — last chance!","Basic internet access. Anyone can apply.","Rs 500 per ad posted. Instant payment.","1"
"Copy Paste Work — Daily Payment","HomePay India provides simple home based copy paste work.","Earn money daily by doing simple copy paste work from home. No experience required. Just pay Rs 900 registration fee and start earning immediately. Work 2-3 hours per day. Earn Rs 500-1000 per day guaranteed. Apply on WhatsApp. Send Aadhar card to register. Urgent openings available!","Basic computer knowledge. Anyone can apply.","Daily guaranteed payout.","1"
"Earn From Social Media Posting","SocialEarn Hub helps you make money from Facebook and Instagram.","Make money by posting on social media. Earn Rs 300 per post. Just pay a small fee of Rs 800 to activate your account. No experience needed. Earn unlimited by posting more. Refer friends and earn extra bonus. Immediate start. Apply now on WhatsApp.","Smartphone and social media accounts required.","Rs 300 per post. Unlimited earning.","1"
"Work From Home — No Investment","TrueProfit gives you genuine work from home without any investment.","Earn Rs 40000 per month from home by doing simple tasks. Pay just Rs 1200 activation fee. No experience needed. Work from anywhere, anytime. Guaranteed payment every week. Apply before offer expires — limited time!","Anyone above 18. Basic internet.","Rs 40000 monthly guaranteed.","1"
"Pyramid Scheme Team Leader","WealthBuilder Network is India's premier wealth building opportunity.","Build your own business by growing a team. Earn commission on your team's sales. Recruit friends and family to earn more. Join our pyramid structure and earn from multiple levels. Buy our business kit for Rs 6000 to become a team leader. Unlimited earning potential!","Anyone willing to invest and recruit others.","Unlimited multi-level commission.","1"
"Home Based Packaging Work","HomePackage India offers genuine packaging work from home.","Pack items at home and earn Rs 10000-15000 per month. Pay a security deposit of Rs 1500 to receive your first packaging kit. No experience required. Easy work for housewives and students. Apply on WhatsApp and send your address. Urgent requirement.","Anyone who can do simple packaging work.","Rs 10000-15000 per month. Work from home.","1"
"Earn By Watching Videos","VideoEarn App pays you for watching videos and clicking ads online.","Watch videos and click ads to earn money online. Pay Rs 600 to activate your premium account and start earning Rs 300-500 per day. No experience needed. Work just 30 minutes per day. Invite friends to earn extra. Apply immediately — offer valid for 24 hours only!","Smartphone and internet connection.","Rs 300-500 per day watching videos.","1"
